Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Apr-25,EQ,141.45,141.56,138,141.5,139.56,140.08,140.63,184.6,122.62,"2,92,05,042","4,10,72,41,617.98","1,49,767"
29-Apr-25,EQ,142.07,143.3,140.92,142.07,141.56,141.5,141.93,184.6,122.62,"2,57,58,449","3,65,59,94,014.18","1,62,820"
28-Apr-25,EQ,138.54,142.6,138.38,138.85,141.99,142.07,141.25,184.6,122.62,"2,69,71,589","3,80,96,14,109.69","1,60,043"
25-Apr-25,EQ,142,143.45,138.02,141.52,138.54,138.85,139.96,184.6,122.62,"3,77,64,696","5,28,56,18,336.86","1,98,899"
24-Apr-25,EQ,140.7,141.88,140.28,141.16,141.44,141.52,141.36,184.6,122.62,"2,30,61,444","3,26,00,00,657.11","1,26,453"
23-Apr-25,EQ,139.39,141.5,137.32,138.16,140.7,141.16,139.59,184.6,122.62,"3,78,51,304","5,28,34,98,279.14","2,00,342"
22-Apr-25,EQ,142,142.84,137.7,139.18,137.97,138.16,139.74,184.6,122.62,"5,84,29,662","8,16,51,64,937.32","2,30,625"
21-Apr-25,EQ,137.65,140.3,137.05,137.14,139.5,139.18,139.08,184.6,122.62,"2,65,03,486","3,68,62,12,972.38","2,07,964"
17-Apr-25,EQ,134.4,137.96,133.7,136.97,137.24,137.14,135.99,184.6,122.62,"6,22,82,856","8,47,01,43,514.15","3,62,747"
16-Apr-25,EQ,136.41,137.6,134.62,136.41,137.1,136.97,135.86,184.6,122.62,"4,26,84,087","5,79,91,67,230.47","1,96,883"
15-Apr-25,EQ,135.6,137,134.84,133.42,136.7,136.41,135.97,184.6,122.62,"3,89,67,608","5,29,84,86,163.86","2,36,436"
11-Apr-25,EQ,134.67,134.7,130.49,127.18,133.47,133.42,133,184.6,122.62,"7,37,06,472","9,80,30,73,537.58","3,49,444"
09-Apr-25,EQ,130,130,125.3,130.28,127.35,127.18,127.06,184.6,122.62,"7,33,99,980","9,32,62,18,503.85","4,26,871"
08-Apr-25,EQ,134.89,136.2,128.02,129.48,130.05,130.28,131.06,184.6,122.62,"6,89,99,181","9,04,32,62,229.44","3,60,513"
07-Apr-25,EQ,128,130.35,125.33,140.39,130.2,129.48,127.62,184.6,122.62,"12,18,06,340","15,54,44,31,644.89","6,07,208"
04-Apr-25,EQ,152.62,152.99,140,153.62,140.67,140.39,143.35,184.6,122.62,"8,08,46,143","11,58,95,98,417.40","4,39,854"
03-Apr-25,EQ,153,155.97,152.6,154.69,153.85,153.62,154.44,184.6,122.62,"1,51,17,526","2,33,47,71,453.89","1,10,552"
02-Apr-25,EQ,154,156.25,152.27,153.12,154.84,154.69,154.35,184.6,122.62,"2,49,77,582","3,85,52,06,531.03","1,22,844"
01-Apr-25,EQ,152.07,155.34,152.07,154.24,153.25,153.12,153.41,184.6,122.62,"2,91,42,122","4,47,07,69,084.97","1,51,632"
28-Mar-25,EQ,155.38,156.91,153.37,155.42,153.98,154.24,154.5,184.6,122.62,"2,45,89,315","3,79,89,35,508.26","1,05,656"
27-Mar-25,EQ,154.8,156.1,154.2,155.81,155.36,155.42,155.47,184.6,122.62,"2,59,09,068","4,02,80,14,189.92","1,36,794"
26-Mar-25,EQ,156.2,157.54,155.01,156.73,155.07,155.81,156.44,184.6,122.62,"2,31,82,869","3,62,67,32,598.78","1,42,138"
25-Mar-25,EQ,159,159,156.05,158.42,156.27,156.73,157.22,184.6,122.62,"2,84,67,187","4,47,57,45,077.22","1,82,282"
24-Mar-25,EQ,158,159,157.11,157.28,158.29,158.42,158.42,184.6,122.62,"3,09,05,773","4,89,59,84,860.52","1,54,989"
21-Mar-25,EQ,159.03,159.75,156.82,159.04,157.08,157.28,157.96,184.6,122.62,"4,91,84,821","7,76,92,39,117.59","1,54,615"
20-Mar-25,EQ,160,160.1,156.65,158.6,159.03,159.04,158.64,184.6,122.62,"3,98,89,517","6,32,80,46,698.67","1,93,466"
19-Mar-25,EQ,156.8,159.2,156.5,154.66,158.54,158.6,158.11,184.6,122.62,"6,61,61,413","10,46,08,45,185.47","3,62,436"
18-Mar-25,EQ,153,154.83,152.22,151.81,154.6,154.66,153.68,184.6,122.62,"3,81,25,586","5,85,91,64,416.95","2,77,281"
17-Mar-25,EQ,151.99,152.64,150.9,150.88,152.01,151.81,151.74,184.6,122.62,"3,58,79,781","5,44,44,35,545.07","1,91,938"
13-Mar-25,EQ,152,153.56,150.02,150.3,150.7,150.88,151.47,184.6,122.62,"4,82,86,431","7,31,40,85,180.50","2,06,875"
12-Mar-25,EQ,151,152.28,147.7,150.75,150.28,150.3,149.75,184.6,122.62,"2,63,77,549","3,95,00,05,335.92","1,52,112"
11-Mar-25,EQ,148.1,151.7,148,151.05,150.83,150.75,150.56,184.6,122.62,"3,59,16,900","5,40,77,20,556.67","1,82,888"
10-Mar-25,EQ,151.56,154.24,150.41,151.56,150.65,151.05,152.25,184.6,122.62,"5,44,50,331","8,29,02,75,937.58","2,72,383"
07-Mar-25,EQ,149.74,152.45,149.27,150.44,151.5,151.56,151.57,184.6,122.62,"8,18,21,791","12,40,15,72,015.30","2,98,325"
06-Mar-25,EQ,146.79,152.2,146.2,146.1,149.74,150.44,149.77,184.6,122.62,"7,91,21,467","11,84,98,00,824.69","3,48,979"
05-Mar-25,EQ,139,146.49,139,139.34,145.68,146.1,144.05,184.6,122.62,"6,21,09,377","8,94,68,72,004.34","3,84,142"
04-Mar-25,EQ,136.15,140.94,135.81,138.57,139.29,139.34,139.13,184.6,122.62,"2,86,34,645","3,98,38,76,585.13","1,73,877"
03-Mar-25,EQ,137,139.05,134.31,137.2,138.32,138.57,137.02,184.6,122.62,"3,11,54,401","4,26,88,41,100.55","2,28,959"
28-Feb-25,EQ,137.8,137.8,134.06,138.69,137.16,137.2,136.23,184.6,122.62,"4,55,40,594","6,20,39,16,419.27","2,70,079"
27-Feb-25,EQ,137.21,138.99,135.88,137.07,138.8,138.69,137.24,184.6,122.62,"3,07,47,044","4,21,96,34,170.42","1,77,643"
25-Feb-25,EQ,138.49,139.35,136.7,137.65,137,137.07,137.56,184.6,122.62,"2,35,75,603","3,24,30,71,564.86","2,02,741"
24-Feb-25,EQ,138.81,140.66,136.66,140.76,137.39,137.65,138.86,184.6,122.62,"2,51,93,205","3,49,82,35,797.80","1,94,696"
21-Feb-25,EQ,137.91,141.6,137.15,138.04,140.6,140.76,140.19,184.6,122.62,"4,19,87,785","5,88,62,50,057.98","2,58,806"
20-Feb-25,EQ,135.27,138.36,135,135.76,138,138.04,137.22,184.6,122.62,"2,41,39,808","3,31,25,52,015.27","1,75,522"
19-Feb-25,EQ,134.5,136.88,133.03,134.54,135.8,135.76,135.87,184.6,122.62,"1,84,47,487","2,50,63,99,510.52","1,42,282"
18-Feb-25,EQ,134.29,134.9,131.75,134.29,134.16,134.54,133.31,184.6,122.62,"2,39,57,576","3,19,37,39,383.77","1,44,444"
17-Feb-25,EQ,132.91,134.8,130.73,134.47,134.31,134.29,133.28,184.6,122.62,"2,11,89,637","2,82,41,89,592.79","1,94,558"
14-Feb-25,EQ,136.25,139.25,133.33,136.25,134.02,134.47,135.51,184.6,122.62,"4,14,69,242","5,61,95,70,218.29","2,24,745"
13-Feb-25,EQ,132.28,137.69,131.86,132.28,136.41,136.25,136.07,184.6,122.62,"5,20,36,196","7,08,07,56,827.59","2,40,088"
12-Feb-25,EQ,129.35,133.29,128.31,130.11,132.25,132.28,130.91,184.6,122.62,"3,79,27,696","4,96,51,12,642.36","2,19,471"
11-Feb-25,EQ,133,134.34,129.7,134.04,130.2,130.11,131.71,184.6,122.62,"2,36,35,428","3,11,30,46,800.70","1,89,150"
10-Feb-25,EQ,138.1,138.1,133,138.31,133.91,134.04,134.12,184.6,122.62,"2,61,20,805","3,50,33,87,611.66","1,88,430"
07-Feb-25,EQ,133.3,138.75,132.56,132.54,138.16,138.31,136.76,184.6,122.62,"5,29,50,146","7,24,16,65,875.06","2,78,840"
06-Feb-25,EQ,134.5,134.87,132.02,134.4,132.65,132.54,132.72,184.6,122.62,"2,24,08,168","2,97,39,56,819.77","1,52,707"
05-Feb-25,EQ,133.15,135.39,133.08,133.42,134.34,134.4,134.61,184.6,122.62,"1,69,58,362","2,28,28,13,794.56","1,50,442"
