"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Jul-2024","EQ","219.00","223.25","217.05","217.14","223.21","222.47","220.29","223.25","73.40","4,55,80,868","10,04,12,03,355.29","2,51,248"
"11-Jul-2024","EQ","211.47","218.95","211.37","211.37","217.00","217.14","215.26","218.95","73.40","4,57,69,091","9,85,23,84,575.26","2,56,627"
"10-Jul-2024","EQ","213.00","213.39","205.74","212.56","210.90","211.37","210.46","214.00","73.40","2,98,52,043","6,28,27,05,249.81","2,14,608"
"09-Jul-2024","EQ","207.80","214.00","206.61","207.93","212.10","212.56","212.16","214.00","73.40","3,93,12,576","8,34,04,36,982.66","2,42,335"
"08-Jul-2024","EQ","208.25","210.00","206.00","207.57","207.26","207.93","208.11","213.95","73.40","1,82,60,120","3,80,00,73,707.38","1,73,686"
"05-Jul-2024","EQ","207.00","208.40","204.77","207.44","207.80","207.57","206.61","213.95","73.00","2,96,81,228","6,13,23,13,593.60","1,75,324"
"04-Jul-2024","EQ","208.39","210.29","206.70","208.44","207.05","207.44","208.62","213.95","73.00","3,00,04,307","6,25,94,48,235.14","2,50,494"
"03-Jul-2024","EQ","209.45","213.95","205.33","209.09","208.40","208.44","209.43","213.95","73.00","6,14,79,249","12,87,56,60,946.38","4,93,334"
"02-Jul-2024","EQ","204.00","209.84","202.25","203.97","208.52","209.09","207.68","209.84","73.00","6,56,98,266","13,64,39,95,174.03","3,95,061"
"01-Jul-2024","EQ","199.71","204.50","194.56","200.56","203.70","203.97","201.16","207.20","73.00","5,35,36,850","10,76,93,99,698.23","4,05,038"
"28-Jun-2024","EQ","201.30","203.92","199.10","200.15","199.80","200.56","201.91","207.20","73.00","3,72,87,397","7,52,86,42,571.27","2,93,219"
"27-Jun-2024","EQ","198.20","201.50","196.00","197.25","199.90","200.15","198.54","207.20","73.00","3,25,35,933","6,45,95,56,594.07","1,89,827"
"26-Jun-2024","EQ","202.56","203.48","196.00","202.27","197.40","197.25","198.09","207.20","73.00","3,89,34,432","7,71,23,60,181.89","3,76,673"
"25-Jun-2024","EQ","201.75","204.70","200.00","198.92","202.56","202.27","202.17","207.20","73.00","6,06,70,560","12,26,57,99,214.97","3,34,581"
"24-Jun-2024","EQ","193.90","199.80","191.95","193.95","198.60","198.92","197.51","207.20","73.00","3,42,01,378","6,75,51,63,316.71","2,09,417"
"21-Jun-2024","EQ","197.90","199.95","193.05","197.05","193.90","193.95","195.97","207.20","72.55","3,78,41,138","7,41,56,51,641.83","2,10,302"
"20-Jun-2024","EQ","199.99","201.80","195.00","198.49","196.69","197.05","197.76","207.20","72.55","4,43,95,214","8,77,94,00,623.34","2,29,496"
