"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Jun-2024","EQ","792.85","834.70","783.80","786.70","830.00","831.80","821.24","1,058.20","700.00","35,58,873","2,92,26,82,334.40","1,03,007"
"06-Jun-2024","EQ","764.00","800.50","760.00","761.55","787.00","786.70","787.08","1,058.20","700.00","22,93,421","1,80,51,16,265.05","60,669"
"05-Jun-2024","EQ","725.05","768.30","725.05","730.90","762.60","761.55","751.48","1,058.20","700.00","5,10,343","38,35,10,355.75","26,636"
"04-Jun-2024","EQ","775.00","781.00","700.00","773.35","734.90","730.90","735.72","1,058.20","700.00","15,20,153","1,11,84,10,079.65","66,038"
"03-Jun-2024","EQ","775.40","782.40","756.10","741.85","778.10","773.35","772.01","1,058.20","738.15","11,18,819","86,37,39,167.55","42,718"
"31-May-2024","EQ","748.95","750.00","738.15","745.45","743.80","741.85","745.32","1,058.20","738.15","12,97,510","96,70,60,400.45","19,058"
"30-May-2024","EQ","752.40","753.90","742.80","752.35","747.00","745.45","746.71","1,058.20","742.75","4,35,189","32,49,58,470.10","16,709"
"29-May-2024","EQ","762.90","763.80","748.25","762.85","750.00","752.35","754.76","1,058.20","742.75","4,88,802","36,89,29,119.15","18,124"
"28-May-2024","EQ","770.55","774.00","760.30","769.05","763.30","762.85","765.50","1,058.20","742.75","2,82,283","21,60,87,751.20","16,338"
"27-May-2024","EQ","784.60","784.60","766.55","778.10","768.05","769.05","773.62","1,058.20","742.75","8,69,010","67,22,79,646.25","29,135"
"24-May-2024","EQ","785.00","798.05","774.10","788.40","775.00","778.10","789.21","1,058.20","742.75","16,97,769","1,33,98,94,111.50","35,422"
"23-May-2024","EQ","790.00","799.70","772.05","774.15","786.55","788.40","784.48","1,058.20","742.75","20,72,123","1,62,55,41,632.10","57,318"
"22-May-2024","EQ","777.00","780.00","766.80","771.75","775.00","774.15","772.03","1,058.20","742.75","5,54,298","42,79,32,952.30","28,149"
"21-May-2024","EQ","781.15","784.15","770.50","781.15","771.75","771.75","775.50","1,058.20","742.75","9,99,060","77,47,70,711.45","25,059"
"18-May-2024","EQ","783.20","785.35","771.05","777.10","784.95","781.15","780.39","1,058.20","742.75","29,883","2,33,20,266.45","1,609"
"17-May-2024","EQ","771.90","779.00","767.75","769.35","777.00","777.10","773.49","1,058.20","742.75","3,23,380","25,01,31,133.30","16,105"
"16-May-2024","EQ","761.80","772.00","761.80","763.40","768.75","769.35","766.92","1,058.20","742.75","1,65,022","12,65,58,379.65","8,692"
"15-May-2024","EQ","772.95","774.15","760.00","769.65","762.00","763.40","764.59","1,058.20","742.75","4,28,039","32,72,74,302.70","15,835"
"14-May-2024","EQ","765.95","772.00","760.25","762.40","771.95","769.65","765.83","1,058.20","742.75","3,13,275","23,99,14,543.15","21,106"
"13-May-2024","EQ","762.15","764.45","748.20","760.20","763.95","762.40","757.49","1,058.20","742.75","3,10,979","23,55,62,749.85","19,106"
"10-May-2024","EQ","750.00","762.55","742.75","748.60","762.15","760.20","754.12","1,058.20","742.75","3,89,425","29,36,74,196.85","18,291"
"09-May-2024","EQ","764.00","764.85","745.80","764.25","747.30","748.60","756.40","1,058.20","745.80","3,01,268","22,78,78,944.85","15,252"
"08-May-2024","EQ","757.00","770.90","752.00","756.85","765.00","764.25","760.89","1,058.20","752.00","6,54,063","49,76,68,339.90","32,501"
