"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Nov-2024","EQ","875.00","878.95","855.55","876.40","869.95","865.80","862.18","1,058.20","700.00","7,41,295","63,91,30,778.85","13,463"
"07-Nov-2024","EQ","882.20","884.95","868.30","881.50","874.00","876.40","875.71","1,058.20","700.00","2,06,556","18,08,83,853.55","12,601"
"06-Nov-2024","EQ","879.95","884.15","871.30","874.80","880.30","881.50","879.08","1,058.20","700.00","2,54,647","22,38,55,710.20","13,501"
"05-Nov-2024","EQ","874.10","884.85","871.10","877.70","877.00","874.80","877.38","1,058.20","700.00","2,09,092","18,34,53,028.60","13,207"
"04-Nov-2024","EQ","896.95","899.00","870.65","892.40","875.90","877.70","878.77","1,058.20","700.00","3,59,564","31,59,75,729.70","21,524"
"01-Nov-2024","EQ","890.00","895.50","884.00","886.55","886.95","892.40","891.57","1,058.20","700.00","1,22,577","10,92,86,210.45","5,934"
"31-Oct-2024","EQ","884.55","891.90","872.50","882.65","888.00","886.55","880.69","1,058.20","700.00","5,56,923","49,04,78,459.85","25,009"
"30-Oct-2024","EQ","868.00","888.00","864.20","864.90","881.90","882.65","880.92","1,058.20","700.00","8,01,761","70,62,88,732.10","41,597"
"29-Oct-2024","EQ","860.15","871.10","844.60","856.95","865.00","864.90","857.07","1,058.20","700.00","20,46,350","1,75,38,69,087.50","35,608"
"28-Oct-2024","EQ","859.50","867.75","840.25","853.05","857.00","856.95","855.08","1,058.20","700.00","3,91,295","33,45,89,219.90","26,216"
"25-Oct-2024","EQ","851.50","856.00","833.90","844.80","855.90","853.05","845.68","1,058.20","700.00","4,10,967","34,75,48,354.25","29,806"
"24-Oct-2024","EQ","837.00","854.00","831.50","838.85","843.05","844.80","846.67","1,058.20","700.00","2,49,452","21,12,02,759.30","23,241"
"23-Oct-2024","EQ","826.80","848.80","823.90","826.85","838.90","838.85","839.85","1,058.20","700.00","2,61,741","21,98,22,232.30","16,020"
"22-Oct-2024","EQ","832.00","841.05","825.60","834.95","826.50","826.85","829.43","1,058.20","700.00","6,21,692","51,56,50,670.65","18,666"
"21-Oct-2024","EQ","845.00","851.75","831.10","851.30","832.90","834.95","839.23","1,058.20","700.00","4,84,051","40,62,29,119.50","30,836"
"18-Oct-2024","EQ","848.90","861.80","839.05","848.90","850.00","851.30","848.54","1,058.20","700.00","6,23,598","52,91,47,737.80","21,851"
"17-Oct-2024","EQ","877.75","877.80","845.00","870.75","849.30","848.90","859.07","1,058.20","700.00","6,09,357","52,34,77,942.45","38,505"
"16-Oct-2024","EQ","880.00","880.05","864.70","870.10","872.00","870.75","870.70","1,058.20","700.00","3,29,245","28,66,73,709.90","16,093"
"15-Oct-2024","EQ","873.35","875.00","860.80","869.85","870.00","870.10","867.35","1,058.20","700.00","3,12,361","27,09,26,296.75","10,891"
"14-Oct-2024","EQ","861.55","871.55","854.05","861.55","862.35","869.85","868.46","1,058.20","700.00","13,35,019","1,15,94,07,024.35","17,313"
"11-Oct-2024","EQ","866.00","870.20","855.50","862.05","861.60","861.55","862.56","1,058.20","700.00","2,48,513","21,43,57,275.35","8,623"
"10-Oct-2024","EQ","861.60","872.45","857.00","855.20","862.55","862.05","864.48","1,058.20","700.00","2,20,995","19,10,45,434.35","13,674"
"09-Oct-2024","EQ","859.00","862.85","845.10","857.25","856.75","855.20","856.70","1,058.20","700.00","2,16,960","18,58,68,987.45","13,249"
"08-Oct-2024","EQ","851.00","871.25","850.00","855.40","856.55","857.25","857.84","1,058.20","700.00","3,28,727","28,19,95,389.05","17,703"
"07-Oct-2024","EQ","869.20","876.55","849.70","868.45","855.00","855.40","859.36","1,058.20","700.00","3,67,182","31,55,40,018.70","28,227"
"04-Oct-2024","EQ","866.00","879.40","857.20","872.95","870.00","868.45","871.21","1,058.20","700.00","2,79,450","24,34,58,383.00","22,943"
"03-Oct-2024","EQ","876.80","886.80","869.80","877.90","874.50","872.95","876.90","1,058.20","700.00","8,43,832","73,99,58,920.90","38,707"
"01-Oct-2024","EQ","867.00","884.00","866.30","867.00","875.65","877.90","875.84","1,058.20","700.00","4,80,399","42,07,53,112.40","22,080"
"30-Sep-2024","EQ","861.35","869.00","855.00","863.35","864.00","867.00","864.46","1,058.20","700.00","3,28,919","28,43,36,067.20","17,135"
"27-Sep-2024","EQ","856.00","877.00","853.55","861.00","865.10","863.35","864.43","1,058.20","700.00","12,29,146","1,06,25,06,497.35","44,311"
"26-Sep-2024","EQ","858.00","864.85","844.15","855.55","861.70","861.00","853.68","1,058.20","700.00","5,14,998","43,96,46,011.65","26,029"
"25-Sep-2024","EQ","848.00","868.50","845.25","851.05","853.80","855.55","860.00","1,058.20","700.00","11,32,803","97,42,05,522.80","43,656"
"24-Sep-2024","EQ","849.00","857.75","842.25","851.45","852.50","851.05","850.65","1,058.20","700.00","4,76,939","40,57,08,152.45","20,821"
"23-Sep-2024","EQ","840.00","854.15","837.00","835.35","848.50","851.45","847.58","1,058.20","700.00","3,59,706","30,48,78,818.75","20,813"
"20-Sep-2024","EQ","828.95","841.45","827.55","828.95","839.00","835.35","835.86","1,058.20","700.00","4,01,773","33,58,24,350.35","21,636"
